"Moving Violations",,
"28th Precinct",,
February,,
"Offense Description
Backing Unsafely","MTD 2014
0","YTD 2014"
,,2
"Brake Lights (Defect.or  Improper)",6,30
"Bus Lane, Driving in",0,0
"Cell Phone",107,238
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",90,193
"Equipment (Other)",1,7
"Fail to Keep Right",0,3
"Fail to Signal",9,15
"Fail to Stop on Signal",33,89
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",6,14
"Improper Lights",0,0
"Improper Passing",1,1
"Improper Turn",52,151
"Improper/Missing Plates",0,1
"Not Giving R of W to Pedes.",67,116
"Not Giving R of W to Veh.",1,2
"One Way Street",0,4
"Pavement Markings",0,1
"Safety Belt",86,177
"School Bus, Passing Stopped",0,3
Speeding,29,75
Spillback,2,3
"Tinted Windows",35,69
"Truck Routes",1,9
U-Turn,57,101
Uninspected,18,35
Uninsured,9,22
"Unlicensed Operator",9,26
Unregistered,2,5
"Unsafe Lane Change",0,4
"Other Movers
TOTAL Movers","53
674",87
,,1483
"* All figures are preliminary and subject to change.",,
