"Moving Violations",,
"Brooklyn South",,
February,,
"Offense Description
Backing Unsafely","MTD 2014
29","YTD 2014"
,,64
"Brake Lights (Defect.or  Improper)",186,362
"Bus Lane, Driving in",41,115
"Cell Phone",1353,2662
"Commercial Veh on Pkwy",18,28
"Defective Brakes",3,4
"Disobey Sign",1500,2950
"Equipment (Other)",16,28
"Fail to Keep Right",2,4
"Fail to Signal",369,616
"Fail to Stop on Signal",835,1480
"Following Too Closely",6,16
"Headlights (Defect. or Improper)",205,409
"Improper Lights",89,174
"Improper Passing",69,146
"Improper Turn",864,1575
"Improper/Missing Plates",29,81
"Not Giving R of W to Pedes.",530,854
"Not Giving R of W to Veh.",63,130
"One Way Street",49,85
"Pavement Markings",383,744
"Safety Belt",1310,2590
"School Bus, Passing Stopped",11,33
Speeding,188,608
Spillback,33,75
"Tinted Windows",1351,2533
"Truck Routes",79,121
U-Turn,168,328
Uninspected,92,230
Uninsured,818,1744
"Unlicensed Operator",698,1346
Unregistered,154,329
"Unsafe Lane Change",46,89
"Other Movers
TOTAL Movers","548
12135",1044
,,23597
"* All figures are preliminary and subject to change.",,
