"Moving Violations",,
"Queens South",,
February,,
"Offense Description
Backing Unsafely","MTD 2014
13","YTD 2014"
,,28
"Brake Lights (Defect.or  Improper)",430,764
"Bus Lane, Driving in",0,0
"Cell Phone",773,1423
"Commercial Veh on Pkwy",0,0
"Defective Brakes",1,18
"Disobey Sign",967,2174
"Equipment (Other)",64,138
"Fail to Keep Right",0,0
"Fail to Signal",81,175
"Fail to Stop on Signal",308,609
"Following Too Closely",2,6
"Headlights (Defect. or Improper)",337,637
"Improper Lights",48,89
"Improper Passing",27,50
"Improper Turn",726,1351
"Improper/Missing Plates",15,32
"Not Giving R of W to Pedes.",210,380
"Not Giving R of W to Veh.",18,53
"One Way Street",4,13
"Pavement Markings",184,406
"Safety Belt",946,1850
"School Bus, Passing Stopped",10,21
Speeding,247,408
Spillback,15,28
"Tinted Windows",1126,2145
"Truck Routes",9,28
U-Turn,97,229
Uninspected,74,202
Uninsured,809,1578
"Unlicensed Operator",705,1384
Unregistered,87,199
"Unsafe Lane Change",13,38
"Other Movers
TOTAL Movers","394
8740",730
,,17186
"* All figures are preliminary and subject to change.",,
