"Moving Violations",,
"Transportation Bureau",,
February,,
"Offense Description
Backing Unsafely","MTD 2014
49","YTD 2014"
,,83
"Brake Lights (Defect.or  Improper)",39,57
"Bus Lane, Driving in",136,300
"Cell Phone",719,1248
"Commercial Veh on Pkwy",102,193
"Defective Brakes",0,17
"Disobey Sign",2211,3615
"Equipment (Other)",420,765
"Fail to Keep Right",0,1
"Fail to Signal",276,577
"Fail to Stop on Signal",240,443
"Following Too Closely",54,127
"Headlights (Defect. or Improper)",22,53
"Improper Lights",8,20
"Improper Passing",65,185
"Improper Turn",477,986
"Improper/Missing Plates",12,24
"Not Giving R of W to Pedes.",315,405
"Not Giving R of W to Veh.",35,60
"One Way Street",9,10
"Pavement Markings",257,455
"Safety Belt",536,869
"School Bus, Passing Stopped",0,2
Speeding,5379,10651
Spillback,19,121
"Tinted Windows",1185,2318
"Truck Routes",5,11
U-Turn,1,3
Uninspected,99,194
Uninsured,222,402
"Unlicensed Operator",380,720
Unregistered,107,185
"Unsafe Lane Change",70,158
"Other Movers
TOTAL Movers","1333
14782",2797
,,28055
"*Transportation Bureau is a citywide unit whose activity is not tracked by Precinct.",,
"* All figures are preliminary and subject to change.",,
