"Moving Violations",,
"66th Precinct",,
February,,
"Offense Description
Backing Unsafely","MTD 2014
0","YTD 2014"
,,0
"Brake Lights (Defect.or  Improper)",7,13
"Bus Lane, Driving in",0,0
"Cell Phone",116,225
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",96,188
"Equipment (Other)",0,0
"Fail to Keep Right",0,0
"Fail to Signal",76,131
"Fail to Stop on Signal",20,32
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",3,4
"Improper Lights",0,0
"Improper Passing",0,3
"Improper Turn",10,12
"Improper/Missing Plates",0,1
"Not Giving R of W to Pedes.",34,55
"Not Giving R of W to Veh.",0,0
"One Way Street",0,0
"Pavement Markings",0,0
"Safety Belt",149,286
"School Bus, Passing Stopped",1,8
Speeding,11,51
Spillback,0,0
"Tinted Windows",53,98
"Truck Routes",19,31
U-Turn,0,0
Uninspected,3,10
Uninsured,47,102
"Unlicensed Operator",42,78
Unregistered,7,12
"Unsafe Lane Change",0,0
"Other Movers
TOTAL Movers","23
717",52
,,1392
"* All figures are preliminary and subject to change.",,
