"Moving Violations",,
"Central Park Precinct",,
February,,
"Offense Description
Backing Unsafely","MTD 2014
0","YTD 2014"
,,0
"Brake Lights (Defect.or  Improper)",13,30
"Bus Lane, Driving in",0,0
"Cell Phone",43,99
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",42,92
"Equipment (Other)",2,7
"Fail to Keep Right",0,0
"Fail to Signal",16,24
"Fail to Stop on Signal",17,40
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",18,47
"Improper Lights",0,0
"Improper Passing",0,11
"Improper Turn",53,126
"Improper/Missing Plates",0,0
"Not Giving R of W to Pedes.",19,21
"Not Giving R of W to Veh.",1,1
"One Way Street",1,3
"Pavement Markings",26,56
"Safety Belt",6,13
"School Bus, Passing Stopped",1,1
Speeding,3,3
Spillback,0,0
"Tinted Windows",14,37
"Truck Routes",0,0
U-Turn,0,2
Uninspected,8,27
Uninsured,11,25
"Unlicensed Operator",11,24
Unregistered,0,6
"Unsafe Lane Change",1,4
"Other Movers
TOTAL Movers","4
310",7
,,706
"* All figures are preliminary and subject to change.",,
