"Moving Violations",,
"40th Precinct",,
February,,
"Offense Description
Backing Unsafely","MTD 2014
3","YTD 2014"
,,6
"Brake Lights (Defect.or  Improper)",46,91
"Bus Lane, Driving in",0,0
"Cell Phone",51,96
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",101,159
"Equipment (Other)",9,14
"Fail to Keep Right",0,1
"Fail to Signal",40,44
"Fail to Stop on Signal",75,125
"Following Too Closely",0,1
"Headlights (Defect. or Improper)",101,208
"Improper Lights",0,0
"Improper Passing",4,5
"Improper Turn",124,215
"Improper/Missing Plates",1,4
"Not Giving R of W to Pedes.",72,110
"Not Giving R of W to Veh.",26,30
"One Way Street",4,5
"Pavement Markings",6,10
"Safety Belt",51,82
"School Bus, Passing Stopped",9,11
Speeding,19,92
Spillback,5,11
"Tinted Windows",288,508
"Truck Routes",0,11
U-Turn,11,22
Uninspected,2,4
Uninsured,115,216
"Unlicensed Operator",74,156
Unregistered,15,25
"Unsafe Lane Change",2,3
"Other Movers
TOTAL Movers","31
1285",68
,,2333
"* All figures are preliminary and subject to change.",,
