"Moving Violations",,
"102nd Precinct",,
February,,
"Offense Description
Backing Unsafely","MTD 2014
2","YTD 2014"
,,2
"Brake Lights (Defect.or  Improper)",54,102
"Bus Lane, Driving in",0,0
"Cell Phone",133,197
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,6
"Disobey Sign",121,251
"Equipment (Other)",0,0
"Fail to Keep Right",0,0
"Fail to Signal",19,36
"Fail to Stop on Signal",66,113
"Following Too Closely",0,1
"Headlights (Defect. or Improper)",22,47
"Improper Lights",0,2
"Improper Passing",4,5
"Improper Turn",34,64
"Improper/Missing Plates",2,3
"Not Giving R of W to Pedes.",66,85
"Not Giving R of W to Veh.",2,9
"One Way Street",2,4
"Pavement Markings",9,11
"Safety Belt",102,230
"School Bus, Passing Stopped",2,2
Speeding,18,21
Spillback,2,4
"Tinted Windows",85,118
"Truck Routes",0,0
U-Turn,0,8
Uninspected,3,8
Uninsured,48,106
"Unlicensed Operator",59,103
Unregistered,7,19
"Unsafe Lane Change",2,12
"Other Movers
TOTAL Movers","53
917",97
,,1666
"* All figures are preliminary and subject to change.",,
