"Moving Violations",,
"110th Precinct",,
February,,
"Offense Description
Backing Unsafely","MTD 2014
2","YTD 2014"
,,3
"Brake Lights (Defect.or  Improper)",1,7
"Bus Lane, Driving in",0,0
"Cell Phone",215,434
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",115,309
"Equipment (Other)",0,0
"Fail to Keep Right",0,0
"Fail to Signal",11,19
"Fail to Stop on Signal",119,185
"Following Too Closely",1,1
"Headlights (Defect. or Improper)",15,21
"Improper Lights",0,3
"Improper Passing",6,7
"Improper Turn",57,65
"Improper/Missing Plates",2,4
"Not Giving R of W to Pedes.",107,146
"Not Giving R of W to Veh.",1,1
"One Way Street",6,17
"Pavement Markings",5,18
"Safety Belt",238,462
"School Bus, Passing Stopped",0,2
Speeding,91,409
Spillback,0,0
"Tinted Windows",32,74
"Truck Routes",8,20
U-Turn,16,16
Uninspected,2,7
Uninsured,73,130
"Unlicensed Operator",120,261
Unregistered,4,10
"Unsafe Lane Change",0,0
"Other Movers
TOTAL Movers","50
1297",72
,,2703
"* All figures are preliminary and subject to change.",,
