"Moving Violations",,
"Midtown North Precinct",,
February,,
"Offense Description
Backing Unsafely","MTD 2014
1","YTD 2014"
,,3
"Brake Lights (Defect.or  Improper)",27,45
"Bus Lane, Driving in",0,10
"Cell Phone",171,349
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",139,364
"Equipment (Other)",4,4
"Fail to Keep Right",0,3
"Fail to Signal",18,42
"Fail to Stop on Signal",84,160
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",31,66
"Improper Lights",0,0
"Improper Passing",0,1
"Improper Turn",321,623
"Improper/Missing Plates",3,6
"Not Giving R of W to Pedes.",20,29
"Not Giving R of W to Veh.",1,1
"One Way Street",22,23
"Pavement Markings",9,23
"Safety Belt",172,294
"School Bus, Passing Stopped",2,3
Speeding,4,6
Spillback,8,18
"Tinted Windows",20,37
"Truck Routes",0,0
U-Turn,12,18
Uninspected,0,1
Uninsured,62,114
"Unlicensed Operator",29,57
Unregistered,18,32
"Unsafe Lane Change",6,9
"Other Movers
TOTAL Movers","37
1221",61
,,2402
"* All figures are preliminary and subject to change.",,
