"Moving Violations",,
"83rd Precinct",,
February,,
"Offense Description
Backing Unsafely","MTD 2014
5","YTD 2014"
,,12
"Brake Lights (Defect.or  Improper)",42,87
"Bus Lane, Driving in",0,0
"Cell Phone",166,297
"Commercial Veh on Pkwy",0,0
"Defective Brakes",3,3
"Disobey Sign",240,528
"Equipment (Other)",1,6
"Fail to Keep Right",4,8
"Fail to Signal",42,90
"Fail to Stop on Signal",56,124
"Following Too Closely",1,1
"Headlights (Defect. or Improper)",35,74
"Improper Lights",3,4
"Improper Passing",1,3
"Improper Turn",21,39
"Improper/Missing Plates",4,7
"Not Giving R of W to Pedes.",15,26
"Not Giving R of W to Veh.",2,5
"One Way Street",8,13
"Pavement Markings",3,12
"Safety Belt",74,135
"School Bus, Passing Stopped",0,0
Speeding,6,9
Spillback,0,0
"Tinted Windows",52,95
"Truck Routes",9,12
U-Turn,0,1
Uninspected,1,9
Uninsured,74,154
"Unlicensed Operator",126,245
Unregistered,27,45
"Unsafe Lane Change",2,3
"Other Movers
TOTAL Movers","21
1044",30
,,2077
"* All figures are preliminary and subject to change.",,
