
"Midtown South Precinct",,
"   April ",,
"","",""
"Backing Unsafely",0,5
"Bike Lane",0,1
"Bus Lane",0,1
"Cell Phone",50,182
"Commercial Veh on Pkwy",0,0
"Cruising For Passengers",0,0
"Disobey Traffic Control Device",102,507
"Driving Too Slow",0,0
Equipment,18,63
"Equipment (Other)",0,0
"Excessive Noise",0,0
"Fail to Keep Right",0,1
"Fail to yield Right of Way to Pedestrian",156,871
"Failure to Signal",19,90
"Following Too Closely",0,3
"Improper Passing",0,5
"Improper Taxi Pickup",1,7
"Improper Turn",401,1435
"Improper/Missing Plates",1,1
"Lamps and Other Equipment on Bicycle",0,0
"Motorcycle (Other)",4,9
"Not Giving R of W to Veh.",1,10
"Obstructed Plate",54,85
"One Way Street",18,115
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
"Pavement Markings",0,0
"Red Light",70,265
"School Bus",6,7
"Scooter In NYC",0,0
"Seat Belt",55,213
Speeding,24,114
Spillback,2,4
"TBTA Rule",0,0
Tints,49,180
"TLC (Other)",0,0
"Truck Route",0,0
Uninspected,1,3
Uninsured,1,9
"Unlicensed Operator",9,37
Unregistered,1,7
"Unsafe Lane Change",9,41
"Other Movers",244,1054
"014 TOTAL Movers ",1296,5325

