33rd Precinct,,
October  ,,
"","",""
Backing Unsafely,0,33
Bike Lane,0,2
Bus Lane,0,7
Cell Phone,46,518
Commercial Veh on Pkwy,3,12
Cruising For Passengers,0,0
Disobey Traffic Control Device,152,1381
Driving Too Slow,0,0
Equipment,13,350
Equipment (Other),0,1
Excessive Noise,0,0
Fail to Keep Right,0,2
Fail to yield Right of Way to Pedestrian,75,653
Failure to Signal,20,217
Following Too Closely,1,5
Improper Passing,1,26
Improper Taxi Pickup,0,3
Improper Turn,133,1101
Improper/Missing Plates,1,21
Lamps and Other Equipment on Bicycle,0,5
Motorcycle (Other),1,5
Not Giving R of W to Veh.,1,13
Obstructed Plate,5,148
One Way Street,6,46
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
Pavement Markings,0,1
Red Light,70,771
School Bus,0,17
Scooter In NYC,0,0
Seat Belt,98,809
Speeding,129,957
Spillback,0,27
TBTA Rule,0,0
Tints,32,464
TLC (Other),0,0
Truck Route,3,26
Uninspected,4,39
Uninsured,6,56
Unlicensed Operator,45,333
Unregistered,6,58
Unsafe Lane Change,2,11
Other Movers,55,627
033TOTAL Movers ,908,8745
