13th Precinct,,
October  ,,
"","",""
Backing Unsafely,0,4
Bike Lane,4,16
Bus Lane,1,44
Cell Phone,16,163
Commercial Veh on Pkwy,0,0
Cruising For Passengers,0,3
Disobey Traffic Control Device,238,2300
Driving Too Slow,0,1
Equipment,9,86
Equipment (Other),1,1
Excessive Noise,0,0
Fail to Keep Right,0,3
Fail to yield Right of Way to Pedestrian,57,520
Failure to Signal,6,71
Following Too Closely,0,2
Improper Passing,2,11
Improper Taxi Pickup,6,109
Improper Turn,251,2002
Improper/Missing Plates,0,3
Lamps and Other Equipment on Bicycle,2,8
Motorcycle (Other),0,9
Not Giving R of W to Veh.,0,1
Obstructed Plate,2,16
One Way Street,10,33
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
Pavement Markings,0,0
Red Light,106,860
School Bus,0,3
Scooter In NYC,0,0
Seat Belt,3,89
Speeding,10,89
Spillback,0,17
TBTA Rule,0,0
Tints,5,123
TLC (Other),0,0
Truck Route,3,7
Uninspected,0,0
Uninsured,5,119
Unlicensed Operator,9,106
Unregistered,0,8
Unsafe Lane Change,0,18
Other Movers,44,396
013TOTAL Movers ,790,7241
