73rd Precinct,,
October  ,,
"","",""
Backing Unsafely,0,11
Bike Lane,0,0
Bus Lane,0,8
Cell Phone,10,259
Commercial Veh on Pkwy,6,39
Cruising For Passengers,0,0
Disobey Traffic Control Device,346,3083
Driving Too Slow,0,0
Equipment,6,145
Equipment (Other),0,0
Excessive Noise,0,0
Fail to Keep Right,0,1
Fail to yield Right of Way to Pedestrian,22,376
Failure to Signal,9,163
Following Too Closely,1,3
Improper Passing,1,13
Improper Taxi Pickup,0,0
Improper Turn,113,966
Improper/Missing Plates,0,5
Lamps and Other Equipment on Bicycle,0,0
Motorcycle (Other),0,8
Not Giving R of W to Veh.,0,18
Obstructed Plate,2,76
One Way Street,0,20
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
Pavement Markings,0,0
Red Light,120,1574
School Bus,2,10
Scooter In NYC,0,0
Seat Belt,29,429
Speeding,59,311
Spillback,0,10
TBTA Rule,0,0
Tints,14,429
TLC (Other),0,0
Truck Route,0,5
Uninspected,2,27
Uninsured,12,149
Unlicensed Operator,53,678
Unregistered,13,142
Unsafe Lane Change,1,9
Other Movers,68,1241
073TOTAL Movers ,889,10208
