Brooklyn North,,
February ,,
"","",""
Backing Unsafely,8,17
Bike Lane,11,26
Bus Lane,36,64
Cell Phone,285,617
Commercial Veh on Pkwy,2,8
Cruising For Passengers,0,0
Disobey Traffic Control Device,2292,4969
Driving Too Slow,0,0
Equipment,276,573
Equipment (Other),1,2
Excessive Noise,0,0
Fail to Keep Right,2,3
Fail to yield Right of Way to Pedestrian,392,758
Failure to Signal,234,463
Failure to yield Right of Way to Vehicle,0,0
Following Too Closely,4,7
Improper Passing,20,37
Improper Taxi Pickup,2,2
Improper Turn,486,942
Improper/Missing Plates,3,11
Lamps and Other Equipment on Bicycle,0,0
Motorcycle (Other),6,10
Not Giving R of W to Veh.,9,17
Obstructed Plate,53,119
One Way Street,51,128
Overheight,0,0
Overlength,0,0
Overweight,1,1
Overwidth,0,0
Pavement Markings,1,2
Red Light,894,1947
School Bus,7,19
Scooter In NYC,0,0
Seat Belt,590,1127
Speeding,566,1072
Spillback,13,16
TBTA Rule,0,0
Tints,507,1125
TLC (Other),0,0
Truck Route,14,34
Uninspected,12,28
Uninsured,125,248
Unlicensed Operator,517,1073
Unregistered,101,205
Unsafe Lane Change,18,28
Other Movers,875,1858
PBBNTOTAL Movers ,8414,17556
