"Moving Violations",,
"Queens North",,
"November ",,
pbqnsum,,
"Offense Description","MTD 2016","YTD 2016"
"Backing Unsafely",8,73
"Brake Lights (Defect.or Improper)",2,69
"Bus Lane, Driving in",1,141
"Cell Phone",788,8915
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,3
"Disobey Steady Red Signal",599,5934
"Disobey Traffic Control Device",1997,23820
"Equipment (Other)",83,636
"Fail to Keep Right",2,23
"Fail to Signal",91,1307
"Following Too Closely",1,9
"Headlights (Defect. or Improper)",5,71
"Improper Lights",51,443
"Improper Passing",18,243
"Improper Turn",428,4724
"Improper/Missing Plates",14,397
"Not Giving R of W to Pedes.",985,5571
"Not Giving R of W to Veh.",17,256
"OBSTRUCTED PLATE",8,88
"One Way Street",23,255
"Pavement Markings",37,524
"Safety Belt",797,11379
"School Bus, Passing Stopped",35,524
Speeding,791,5854
Spillback,10,77
"Tinted Windows",344,5398
"Truck Routes",22,265
U-Turn,6,99
Uninspected,6,226
Uninsured,109,1486
"Unlicensed Operator",667,7307
Unregistered,36,678
"Unsafe Lane Change",10,140
"Other Movers",662,7048
"PBQNTOTAL Movers ",8653,93983
,,
"* All figures are preliminary and subject to change.",,
