"Moving Violations",,
"Manhattan South",,
"November ",,
pbmssum,,
"Offense Description","MTD 2016","YTD 2016"
"Backing Unsafely",11,139
"Brake Lights (Defect.or Improper)",46,1143
"Bus Lane, Driving in",15,164
"Cell Phone",772,10233
"Commercial Veh on Pkwy",0,2
"Defective Brakes",0,2
"Disobey Steady Red Signal",665,7504
"Disobey Traffic Control Device",1921,20934
"Equipment (Other)",16,199
"Fail to Keep Right",1,23
"Fail to Signal",257,3652
"Following Too Closely",2,34
"Headlights (Defect. or Improper)",125,1142
"Improper Lights",4,150
"Improper Passing",38,555
"Improper Turn",1484,16623
"Improper/Missing Plates",40,535
"Not Giving R of W to Pedes.",623,6262
"Not Giving R of W to Veh.",13,134
"OBSTRUCTED PLATE",14,98
"One Way Street",57,693
"Pavement Markings",126,1278
"Safety Belt",358,6541
"School Bus, Passing Stopped",10,63
Speeding,164,1557
Spillback,116,1410
"Tinted Windows",205,2870
"Truck Routes",39,382
U-Turn,89,811
Uninspected,8,100
Uninsured,132,1606
"Unlicensed Operator",188,2558
Unregistered,50,721
"Unsafe Lane Change",148,2088
"Other Movers",461,6032
"PBMSTOTAL Movers ",8198,98238
,,
"* All figures are preliminary and subject to change.",,
