"Moving Violations",,
Bronx,,
"November ",,
pbbxsum,,
"Offense Description","MTD 2016","YTD 2016"
"Backing Unsafely",23,265
"Brake Lights (Defect.or Improper)",252,3340
"Bus Lane, Driving in",8,55
"Cell Phone",629,7089
"Commercial Veh on Pkwy",1,51
"Defective Brakes",0,11
"Disobey Steady Red Signal",502,4926
"Disobey Traffic Control Device",2034,20195
"Equipment (Other)",28,550
"Fail to Keep Right",6,35
"Fail to Signal",146,1934
"Following Too Closely",6,46
"Headlights (Defect. or Improper)",337,3207
"Improper Lights",12,104
"Improper Passing",45,285
"Improper Turn",995,10112
"Improper/Missing Plates",55,915
"Not Giving R of W to Pedes.",619,4668
"Not Giving R of W to Veh.",32,389
"OBSTRUCTED PLATE",46,327
"One Way Street",10,181
"Pavement Markings",151,1438
"Safety Belt",616,8279
"School Bus, Passing Stopped",45,716
Speeding,1309,9785
Spillback,18,233
"Tinted Windows",1269,15577
"Truck Routes",16,364
U-Turn,32,472
Uninspected,21,422
Uninsured,500,5873
"Unlicensed Operator",768,7977
Unregistered,199,2252
"Unsafe Lane Change",34,686
"Other Movers",442,5361
"PBBXTOTAL Movers ",11206,118120
,,
"* All figures are preliminary and subject to change.",,
