"Moving Violations",,
"Patrol Bureau",,
"November ",,
patrolsum,,
"Offense Description","MTD 2016","YTD 2016"
"Backing Unsafely",112,1117
"Brake Lights (Defect.or Improper)",685,9540
"Bus Lane, Driving in",38,673
"Cell Phone",4981,65373
"Commercial Veh on Pkwy",23,302
"Defective Brakes",8,69
"Disobey Steady Red Signal",4730,50621
"Disobey Traffic Control Device",14966,157574
"Equipment (Other)",276,4172
"Fail to Keep Right",12,169
"Fail to Signal",1625,19202
"Following Too Closely",42,425
"Headlights (Defect. or Improper)",871,9429
"Improper Lights",157,1436
"Improper Passing",203,2874
"Improper Turn",6335,72023
"Improper/Missing Plates",254,4731
"Not Giving R of W to Pedes.",4841,36953
"Not Giving R of W to Veh.",257,3431
"OBSTRUCTED PLATE",192,1535
"One Way Street",237,3130
"Pavement Markings",901,9960
"Safety Belt",4504,68889
"School Bus, Passing Stopped",189,2881
Speeding,5660,47433
Spillback,196,2173
"Tinted Windows",4899,63754
"Truck Routes",144,2459
U-Turn,278,3302
Uninspected,158,2565
Uninsured,2192,24901
"Unlicensed Operator",4044,47042
Unregistered,738,9193
"Unsafe Lane Change",291,4238
"Other Movers",4252,49598
"PATROLTOTAL Movers ",69291,783167
,,
"* All figures are preliminary and subject to change.",,
