"Moving Violations",,
"Manhattan South",,
"    July ",,
pbmssum,,
"Offense Description","MTD 2017","YTD 2017"
"Backing Unsafely",7,67
"Brake Lights (Defect.or Improper)",27,364
"Bus Lane, Driving in",10,72
"Cell Phone",788,6100
"Commercial Veh on Pkwy",0,0
"Defective Brakes",1,2
"Disobey Steady Red Signal",844,5641
"Disobey Traffic Control Device",1549,11874
"Equipment (Other)",18,111
"Fail to Keep Right",1,24
"Fail to Signal",204,2282
"Following Too Closely",3,25
"Headlights (Defect. or Improper)",25,449
"Improper Lights",5,43
"Improper Passing",51,301
"Improper Turn",1606,10824
"Improper/Missing Plates",33,437
"Lamps and Other Equipment on Bicycle",21,68
"Not Giving R of W to Pedes.",479,4414
"Not Giving R of W to Veh.",18,107
"OBSTRUCTED PLATE",12,113
"One Way Street",110,614
"Pavement Markings",140,841
"Safety Belt",467,3511
"School Bus, Passing Stopped",0,49
Speeding,191,1266
Spillback,62,1038
"Tinted Windows",272,2070
"Truck Routes",7,132
U-Turn,23,485
Uninspected,9,72
Uninsured,87,757
"Unlicensed Operator",181,1445
Unregistered,32,361
"Unsafe Lane Change",73,956
"Other Movers",500,4053
"PBMSTOTAL Movers ",7856,60968
,,
"* All figures are preliminary and subject to change.",,
