"Moving Violations",,
Bronx,,
"    July ",,
pbbxsum,,
"Offense Description","MTD 2017","YTD 2017"
"Backing Unsafely",18,151
"Brake Lights (Defect.or Improper)",184,1733
"Bus Lane, Driving in",4,50
"Cell Phone",715,5228
"Commercial Veh on Pkwy",0,24
"Defective Brakes",0,7
"Disobey Steady Red Signal",504,4125
"Disobey Traffic Control Device",2052,14450
"Equipment (Other)",42,318
"Fail to Keep Right",6,37
"Fail to Signal",152,1300
"Following Too Closely",6,36
"Headlights (Defect. or Improper)",118,1510
"Improper Lights",4,59
"Improper Passing",9,179
"Improper Turn",918,8004
"Improper/Missing Plates",39,358
"Lamps and Other Equipment on Bicycle",2,11
"Not Giving R of W to Pedes.",393,3876
"Not Giving R of W to Veh.",20,273
"OBSTRUCTED PLATE",99,757
"One Way Street",23,113
"Pavement Markings",91,774
"Safety Belt",819,5183
"School Bus, Passing Stopped",3,389
Speeding,857,7399
Spillback,8,95
"Tinted Windows",1159,9674
"Truck Routes",18,93
U-Turn,19,196
Uninspected,39,311
Uninsured,375,3118
"Unlicensed Operator",695,5386
Unregistered,198,1612
"Unsafe Lane Change",67,543
"Other Movers",636,4400
"PBBXTOTAL Movers ",10292,81772
,,
"* All figures are preliminary and subject to change.",,
