"Moving Violations",,
"52nd Precinct",,
"    July ",,
052sum,,
"Offense Description","MTD 2017","YTD 2017"
"Backing Unsafely",1,9
"Brake Lights (Defect.or Improper)",56,558
"Bus Lane, Driving in",2,31
"Cell Phone",61,344
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,1
"Disobey Steady Red Signal",34,230
"Disobey Traffic Control Device",142,933
"Equipment (Other)",9,65
"Fail to Keep Right",0,5
"Fail to Signal",17,162
"Following Too Closely",1,1
"Headlights (Defect. or Improper)",18,238
"Improper Lights",2,28
"Improper Passing",4,35
"Improper Turn",78,873
"Improper/Missing Plates",0,10
"Lamps and Other Equipment on Bicycle",0,0
"Not Giving R of W to Pedes.",40,264
"Not Giving R of W to Veh.",2,22
"OBSTRUCTED PLATE",21,158
"One Way Street",0,6
"Pavement Markings",17,227
"Safety Belt",84,364
"School Bus, Passing Stopped",0,3
Speeding,59,811
Spillback,0,0
"Tinted Windows",193,1154
"Truck Routes",1,3
U-Turn,0,7
Uninspected,1,38
Uninsured,41,300
"Unlicensed Operator",60,441
Unregistered,25,161
"Unsafe Lane Change",3,23
"Other Movers",29,330
"052TOTAL Movers ",1001,7835
,,
"* All figures are preliminary and subject to change.",,
