"Moving Violations",,
"Brooklyn South",,
"    July ",,
pbbssum,,
"Offense Description","MTD 2017","YTD 2017"
"Backing Unsafely",15,136
"Brake Lights (Defect.or Improper)",42,343
"Bus Lane, Driving in",4,46
"Cell Phone",1126,8349
"Commercial Veh on Pkwy",25,57
"Defective Brakes",0,3
"Disobey Steady Red Signal",859,6131
"Disobey Traffic Control Device",1781,14348
"Equipment (Other)",89,706
"Fail to Keep Right",0,3
"Fail to Signal",182,1694
"Following Too Closely",2,17
"Headlights (Defect. or Improper)",43,357
"Improper Lights",8,20
"Improper Passing",35,467
"Improper Turn",611,4441
"Improper/Missing Plates",45,495
"Lamps and Other Equipment on Bicycle",8,26
"Not Giving R of W to Pedes.",561,5641
"Not Giving R of W to Veh.",53,447
"OBSTRUCTED PLATE",90,695
"One Way Street",22,189
"Pavement Markings",166,1171
"Safety Belt",1416,9438
"School Bus, Passing Stopped",14,332
Speeding,704,5715
Spillback,9,77
"Tinted Windows",958,8923
"Truck Routes",31,218
U-Turn,27,325
Uninspected,33,355
Uninsured,249,1952
"Unlicensed Operator",716,5489
Unregistered,115,927
"Unsafe Lane Change",53,392
"Other Movers",1010,6685
"PBBSTOTAL Movers ",11102,86610
,,
"* All figures are preliminary and subject to change.",,
