"Moving Violations",,
"121st Precinct",,
"  August ",,
121sum,,
"Offense Description","MTD 2017","YTD 2017"
"Backing Unsafely",2,18
"Brake Lights (Defect.or Improper)",10,141
"Bus Lane, Driving in",0,4
"Cell Phone",46,297
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,1
"Disobey Steady Red Signal",49,459
"Disobey Traffic Control Device",314,2662
"Equipment (Other)",5,46
"Fail to Keep Right",0,0
"Fail to Signal",124,1231
"Following Too Closely",0,7
"Headlights (Defect. or Improper)",21,132
"Improper Lights",0,4
"Improper Passing",1,6
"Improper Turn",13,80
"Improper/Missing Plates",3,45
"Lamps and Other Equipment on Bicycle",0,0
"Not Giving R of W to Pedes.",21,215
"Not Giving R of W to Veh.",4,30
"OBSTRUCTED PLATE",1,8
"One Way Street",0,4
"Pavement Markings",3,421
"Safety Belt",149,1057
"School Bus, Passing Stopped",0,20
Speeding,146,1059
Spillback,0,0
"Tinted Windows",60,427
"Truck Routes",0,0
U-Turn,0,18
Uninspected,3,28
Uninsured,39,474
"Unlicensed Operator",114,1023
Unregistered,12,84
"Unsafe Lane Change",32,189
"Other Movers",97,642
"121TOTAL Movers ",1269,10832
,,
"* All figures are preliminary and subject to change.",,
