"Moving Violations",,
"Patrol Bureau",,
"  August ",,
patrolsum,,
"Offense Description","MTD 2017","YTD 2017"
"Backing Unsafely",76,768
"Brake Lights (Defect.or Improper)",514,4998
"Bus Lane, Driving in",40,274
"Cell Phone",6030,48198
"Commercial Veh on Pkwy",27,174
"Defective Brakes",13,62
"Disobey Steady Red Signal",5547,44438
"Disobey Traffic Control Device",13538,116230
"Equipment (Other)",546,4231
"Fail to Keep Right",15,148
"Fail to Signal",1298,12345
"Following Too Closely",20,249
"Headlights (Defect. or Improper)",406,4649
"Improper Lights",133,974
"Improper Passing",216,2084
"Improper Turn",6334,57560
"Improper/Missing Plates",348,2932
"Lamps and Other Equipment on Bicycle",101,366
"Not Giving R of W to Pedes.",3903,34140
"Not Giving R of W to Veh.",152,1698
"OBSTRUCTED PLATE",317,3412
"One Way Street",305,2239
"Pavement Markings",756,7062
"Safety Belt",6720,50454
"School Bus, Passing Stopped",21,1607
Speeding,4989,42261
Spillback,108,1487
"Tinted Windows",4031,41688
"Truck Routes",188,1299
U-Turn,151,1871
Uninspected,185,2034
Uninsured,1459,13973
"Unlicensed Operator",3894,33435
Unregistered,799,6624
"Unsafe Lane Change",262,2832
"Other Movers",6102,44798
"PATROLTOTAL Movers ",69544,593594
,,
"* All figures are preliminary and subject to change.",,
