Queens South,,
    June ,,
"","",""
Backing Unsafely,4,38
Bike Lane,0,3
Bus Lane,18,51
Cell Phone,377,2250
Commercial Veh on Pkwy,1,19
Cruising For Passengers,0,1
Disobey Traffic Control Device,1416,9019
Driving Too Slow,1,2
Equipment,262,1547
Equipment (Other),2,5
Excessive Noise,0,0
Fail to Keep Right,1,6
Fail to yield Right of Way to Pedestrian,227,1817
Failure to Signal,184,1349
Following Too Closely,0,10
Improper Passing,29,149
Improper Taxi Pickup,2,48
Improper Turn,480,3826
Improper/Missing Plates,16,56
Lamps and Other Equipment on Bicycle,0,2
Motorcycle (Other),14,35
Not Giving R of W to Veh.,7,46
Obstructed Plate,49,319
One Way Street,22,143
Overheight,0,0
Overlength,0,1
Overweight,0,0
Overwidth,0,0
Pavement Markings,3,17
Red Light,385,2686
School Bus,6,58
Scooter In NYC,0,0
Seat Belt,475,2790
Speeding,622,3809
Spillback,1,21
TBTA Rule,0,0
Tints,152,1878
TLC (Other),0,0
Truck Route,2,178
Uninspected,55,278
Uninsured,190,1153
Unlicensed Operator,450,3225
Unregistered,100,586
Unsafe Lane Change,18,67
Other Movers,627,3736
PBQSTOTAL Movers ,6198,41224
