84th Precinct,,
    June ,,
"","",""
Backing Unsafely,0,2
Bike Lane,0,0
Bus Lane,8,11
Cell Phone,24,146
Commercial Veh on Pkwy,0,0
Cruising For Passengers,0,0
Disobey Traffic Control Device,152,1161
Driving Too Slow,0,0
Equipment,58,295
Equipment (Other),0,0
Excessive Noise,0,0
Fail to Keep Right,0,2
Fail to yield Right of Way to Pedestrian,29,277
Failure to Signal,10,95
Following Too Closely,0,0
Improper Passing,10,25
Improper Taxi Pickup,0,0
Improper Turn,28,234
Improper/Missing Plates,0,6
Lamps and Other Equipment on Bicycle,0,0
Motorcycle (Other),11,26
Not Giving R of W to Veh.,2,7
Obstructed Plate,0,7
One Way Street,4,21
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
Pavement Markings,0,2
Red Light,96,651
School Bus,0,3
Scooter In NYC,0,0
Seat Belt,70,294
Speeding,82,289
Spillback,1,2
TBTA Rule,0,0
Tints,22,139
TLC (Other),0,0
Truck Route,0,0
Uninspected,1,5
Uninsured,7,55
Unlicensed Operator,39,222
Unregistered,4,29
Unsafe Lane Change,3,10
Other Movers,65,422
084TOTAL Movers ,726,4438
