Manhattan North,,
    June ,,
"","",""
Backing Unsafely,6,84
Bike Lane,4,15
Bus Lane,46,168
Cell Phone,413,2636
Commercial Veh on Pkwy,1,5
Cruising For Passengers,0,0
Disobey Traffic Control Device,1863,12588
Driving Too Slow,0,0
Equipment,379,1871
Equipment (Other),2,2
Excessive Noise,0,0
Fail to Keep Right,2,7
Fail to yield Right of Way to Pedestrian,929,5231
Failure to Signal,67,519
Following Too Closely,3,12
Improper Passing,12,63
Improper Taxi Pickup,4,65
Improper Turn,1657,10708
Improper/Missing Plates,9,64
Lamps and Other Equipment on Bicycle,0,26
Motorcycle (Other),12,30
Not Giving R of W to Veh.,8,68
Obstructed Plate,64,437
One Way Street,40,259
Overheight,0,1
Overlength,0,8
Overweight,0,0
Overwidth,0,0
Pavement Markings,0,2
Red Light,1093,5731
School Bus,9,199
Scooter In NYC,0,0
Seat Belt,655,3824
Speeding,542,4156
Spillback,4,63
TBTA Rule,0,0
Tints,199,2058
TLC (Other),0,0
Truck Route,26,121
Uninspected,41,160
Uninsured,49,396
Unlicensed Operator,292,1642
Unregistered,56,313
Unsafe Lane Change,12,96
Other Movers,499,3446
PBMNTOTAL Movers ,8998,57074
