"Moving Violations",,
"Brooklyn North",,
"    June ",,
"Offense Description","MTD 2018","YTD 2018"
"Backing Unsafely",9,45
"Bike Lane",16,51
"Bus Lane",11,51
"Cell Phone",439,2990
"Commercial Veh on Pkwy",3,18
"Cruising For Passengers",0,0
"Disobey Traffic Control Device",1904,14716
"Driving Too Slow",0,5
Equipment,321,2020
"Equipment (Other)",0,1
"Excessive Noise",0,1
"Fail to Keep Right",0,6
"Fail to yield Right of Way to Pedestrian",392,2573
"Failure to Signal",185,1238
"Following Too Closely",1,10
"Improper Passing",25,124
"Improper Taxi Pickup",0,2
"Improper Turn",557,3345
"Improper/Missing Plates",6,58
"Lamps and Other Equipment on Bicycle",1,2
"Motorcycle (Other)",15,58
"Not Giving R of W to Veh.",9,87
"Obstructed Plate",38,322
"One Way Street",119,641
Overheight,0,0
Overlength,0,16
Overweight,1,1
Overwidth,0,0
"Pavement Markings",1,22
"Red Light",963,6460
"School Bus",15,60
"Scooter In NYC",0,0
"Seat Belt",1094,5453
Speeding,477,3656
Spillback,6,42
"TBTA Rule",0,0
Tints,316,3415
"TLC (Other)",0,0
"Truck Route",43,321
Uninspected,37,180
Uninsured,114,786
"Unlicensed Operator",546,3406
Unregistered,121,734
"Unsafe Lane Change",7,45
"Other Movers",1038,6558
"PBBNTOTAL Movers ",8830,59519
"* All figures are preliminary and subject to change.",,
