"Moving Violations",,
"Brooklyn South",,
"  August ",,
pbbssum,,
"Offense Description","MTD 2016","YTD 2016"
"Backing Unsafely",13,138
"Brake Lights (Defect.or Improper)",32,414
"Bus Lane, Driving in",11,74
"Cell Phone",1415,9082
"Commercial Veh on Pkwy",5,98
"Defective Brakes",0,3
"Disobey Steady Red Signal",920,5680
"Disobey Traffic Control Device",2355,16554
"Equipment (Other)",84,372
"Fail to Keep Right",0,13
"Fail to Signal",345,2287
"Following Too Closely",4,42
"Headlights (Defect. or Improper)",43,599
"Improper Lights",2,25
"Improper Passing",60,481
"Improper Turn",681,5033
"Improper/Missing Plates",50,789
"Not Giving R of W to Pedes.",611,5296
"Not Giving R of W to Veh.",67,558
"OBSTRUCTED PLATE",39,146
"One Way Street",39,238
"Pavement Markings",220,1271
"Safety Belt",1772,10628
"School Bus, Passing Stopped",6,354
Speeding,881,5207
Spillback,9,101
"Tinted Windows",1834,12527
"Truck Routes",49,357
U-Turn,63,424
Uninspected,40,305
Uninsured,338,2794
"Unlicensed Operator",810,5430
Unregistered,141,1114
"Unsafe Lane Change",33,368
"Other Movers",913,5717
"PBBSTOTAL Movers ",13885,94519
,,
"* All figures are preliminary and subject to change.",,
