"Moving Violations",,
"Queens North",,
"  August ",,
pbqnsum,,
"Offense Description","MTD 2016","YTD 2016"
"Backing Unsafely",6,54
"Brake Lights (Defect.or Improper)",8,57
"Bus Lane, Driving in",26,131
"Cell Phone",752,6334
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,3
"Disobey Steady Red Signal",659,4058
"Disobey Traffic Control Device",2221,17501
"Equipment (Other)",20,426
"Fail to Keep Right",1,17
"Fail to Signal",117,1007
"Following Too Closely",0,8
"Headlights (Defect. or Improper)",9,55
"Improper Lights",36,335
"Improper Passing",14,185
"Improper Turn",410,3344
"Improper/Missing Plates",23,337
"Not Giving R of W to Pedes.",341,3713
"Not Giving R of W to Veh.",19,209
"OBSTRUCTED PLATE",21,57
"One Way Street",39,197
"Pavement Markings",26,398
"Safety Belt",1304,8846
"School Bus, Passing Stopped",4,309
Speeding,370,3581
Spillback,3,56
"Tinted Windows",386,4391
"Truck Routes",17,192
U-Turn,9,74
Uninspected,16,197
Uninsured,117,1117
"Unlicensed Operator",702,5331
Unregistered,41,538
"Unsafe Lane Change",14,106
"Other Movers",602,4978
"PBQNTOTAL Movers ",8333,68142
,,
"* All figures are preliminary and subject to change.",,
