113th Precinct,,
     May ,,
113sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,1,8
Brake Lights (Defect.or Improper),85,361
"Bus Lane, Driving in",0,0
Cell Phone,109,588
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Sign,72,447
Equipment (Other),17,124
Fail to Keep Right,0,0
Fail to Signal,4,24
Fail to Stop on Signal,27,164
Following Too Closely,1,3
Headlights (Defect. or Improper),40,133
Improper Lights,0,3
Improper Passing,0,13
Improper Turn,232,953
Improper/Missing Plates,6,6
Not Giving R of W to Pedes.,13,87
Not Giving R of W to Veh.,5,10
One Way Street,0,1
Pavement Markings,8,48
Safety Belt,116,428
"School Bus, Passing Stopped",3,14
Speeding,29,138
Spillback,1,6
Tinted Windows,154,692
Truck Routes,29,51
U-Turn,0,0
Uninspected,8,54
Uninsured,109,466
Unlicensed Operator,146,628
Unregistered,36,167
Unsafe Lane Change,0,0
Other Movers,109,471
113    TOTAL Movers ,1360,6088
