Manhattan South,,
     May ,,
pbmssum,,
"",MTD   2014,YTD   2014
Backing Unsafely,14,66
Brake Lights (Defect.or Improper),195,1276
"Bus Lane, Driving in",19,82
Cell Phone,1818,7135
Commercial Veh on Pkwy,0,1
Defective Brakes,7,14
Disobey Sign,2124,8067
Equipment (Other),44,287
Fail to Keep Right,3,13
Fail to Signal,264,1071
Fail to Stop on Signal,863,3245
Following Too Closely,7,33
Headlights (Defect. or Improper),242,1714
Improper Lights,43,211
Improper Passing,81,226
Improper Turn,2150,7836
Improper/Missing Plates,14,76
Not Giving R of W to Pedes.,789,2062
Not Giving R of W to Veh.,9,49
One Way Street,89,351
Pavement Markings,516,1772
Safety Belt,1377,5296
"School Bus, Passing Stopped",7,81
Speeding,234,429
Spillback,200,962
Tinted Windows,182,1190
Truck Routes,22,258
U-Turn,52,268
Uninspected,15,84
Uninsured,355,1751
Unlicensed Operator,316,1359
Unregistered,77,459
Unsafe Lane Change,365,1091
Other Movers,574,2596
PBMS   TOTAL Movers ,13067,51411
