"Moving Violations",,
"52nd Precinct",,
"     May ",,
052sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",4,11
"Brake Lights (Defect.or Improper)",55,425
"Bus Lane, Driving in",0,4
"Cell Phone",61,287
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",63,373
"Equipment (Other)",17,36
"Fail to Keep Right",1,3
"Fail to Signal",18,67
"Fail to Stop on Signal",26,209
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",28,279
"Improper Lights",0,20
"Improper Passing",1,3
"Improper Turn",121,552
"Improper/Missing Plates",4,25
"Not Giving R of W to Pedes.",16,79
"Not Giving R of W to Veh.",2,4
"One Way Street",4,4
"Pavement Markings",32,205
"Safety Belt",54,183
"School Bus, Passing Stopped",0,2
Speeding,161,382
Spillback,1,2
"Tinted Windows",253,1162
"Truck Routes",0,10
U-Turn,7,50
Uninspected,17,149
Uninsured,19,166
"Unlicensed Operator",84,455
Unregistered,24,142
"Unsafe Lane Change",3,11
"Other Movers",47,158
"052    TOTAL Movers ",1123,5458
"* All figures are preliminary and subject to change.",,
