103rd Precinct,,
     May ,,
103sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,5,27
Brake Lights (Defect.or Improper),1,17
"Bus Lane, Driving in",0,0
Cell Phone,188,887
Commercial Veh on Pkwy,0,0
Defective Brakes,0,1
Disobey Sign,415,2007
Equipment (Other),0,0
Fail to Keep Right,0,0
Fail to Signal,18,115
Fail to Stop on Signal,35,167
Following Too Closely,0,0
Headlights (Defect. or Improper),0,11
Improper Lights,3,9
Improper Passing,2,7
Improper Turn,73,412
Improper/Missing Plates,5,48
Not Giving R of W to Pedes.,152,380
Not Giving R of W to Veh.,5,19
One Way Street,1,10
Pavement Markings,38,178
Safety Belt,382,1314
"School Bus, Passing Stopped",3,17
Speeding,48,105
Spillback,16,46
Tinted Windows,242,1562
Truck Routes,42,62
U-Turn,57,431
Uninspected,12,43
Uninsured,24,107
Unlicensed Operator,122,571
Unregistered,7,42
Unsafe Lane Change,1,11
Other Movers,169,668
103    TOTAL Movers ,2066,9274
