69th Precinct,,
     May ,,
069sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,1,16
Brake Lights (Defect.or Improper),18,119
"Bus Lane, Driving in",0,1
Cell Phone,237,922
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Sign,57,403
Equipment (Other),2,20
Fail to Keep Right,0,0
Fail to Signal,4,13
Fail to Stop on Signal,26,160
Following Too Closely,0,1
Headlights (Defect. or Improper),9,100
Improper Lights,0,9
Improper Passing,21,141
Improper Turn,128,399
Improper/Missing Plates,10,19
Not Giving R of W to Pedes.,15,52
Not Giving R of W to Veh.,1,16
One Way Street,0,0
Pavement Markings,28,121
Safety Belt,218,960
"School Bus, Passing Stopped",3,22
Speeding,65,175
Spillback,5,10
Tinted Windows,260,933
Truck Routes,28,46
U-Turn,0,1
Uninspected,1,30
Uninsured,98,484
Unlicensed Operator,59,230
Unregistered,15,88
Unsafe Lane Change,0,0
Other Movers,61,264
069    TOTAL Movers ,1370,5755
