"Moving Violations",,
"30th Precinct",,
"     May ",,
030sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",6,13
"Brake Lights (Defect.or Improper)",18,127
"Bus Lane, Driving in",0,0
"Cell Phone",223,672
"Commercial Veh on Pkwy",0,0
"Defective Brakes",1,2
"Disobey Sign",111,412
"Equipment (Other)",1,4
"Fail to Keep Right",0,0
"Fail to Signal",9,52
"Fail to Stop on Signal",91,388
"Following Too Closely",0,3
"Headlights (Defect. or Improper)",2,82
"Improper Lights",1,1
"Improper Passing",7,24
"Improper Turn",173,492
"Improper/Missing Plates",3,15
"Not Giving R of W to Pedes.",140,293
"Not Giving R of W to Veh.",6,11
"One Way Street",0,0
"Pavement Markings",8,40
"Safety Belt",125,339
"School Bus, Passing Stopped",1,17
Speeding,56,151
Spillback,3,4
"Tinted Windows",21,77
"Truck Routes",23,83
U-Turn,15,183
Uninspected,3,10
Uninsured,10,61
"Unlicensed Operator",43,165
Unregistered,5,14
"Unsafe Lane Change",0,2
"Other Movers",49,113
"030    TOTAL Movers ",1154,3850
"* All figures are preliminary and subject to change.",,
