40th Precinct,,
     May ,,
040sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,1,9
Brake Lights (Defect.or Improper),48,204
"Bus Lane, Driving in",0,0
Cell Phone,89,417
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Sign,132,564
Equipment (Other),4,49
Fail to Keep Right,16,22
Fail to Signal,15,100
Fail to Stop on Signal,27,254
Following Too Closely,0,3
Headlights (Defect. or Improper),37,335
Improper Lights,0,2
Improper Passing,0,7
Improper Turn,53,530
Improper/Missing Plates,1,9
Not Giving R of W to Pedes.,52,257
Not Giving R of W to Veh.,9,55
One Way Street,2,10
Pavement Markings,11,46
Safety Belt,158,382
"School Bus, Passing Stopped",1,30
Speeding,165,401
Spillback,1,39
Tinted Windows,110,1063
Truck Routes,0,11
U-Turn,6,49
Uninspected,3,8
Uninsured,126,514
Unlicensed Operator,94,433
Unregistered,14,69
Unsafe Lane Change,0,8
Other Movers,29,185
040    TOTAL Movers ,1204,6065
