60th Precinct,,
     May ,,
060sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,2,6
Brake Lights (Defect.or Improper),15,41
"Bus Lane, Driving in",0,0
Cell Phone,90,550
Commercial Veh on Pkwy,0,0
Defective Brakes,0,4
Disobey Sign,160,814
Equipment (Other),2,4
Fail to Keep Right,1,1
Fail to Signal,7,66
Fail to Stop on Signal,33,131
Following Too Closely,0,0
Headlights (Defect. or Improper),9,69
Improper Lights,0,6
Improper Passing,0,2
Improper Turn,47,158
Improper/Missing Plates,1,4
Not Giving R of W to Pedes.,36,110
Not Giving R of W to Veh.,2,6
One Way Street,0,1
Pavement Markings,13,37
Safety Belt,83,359
"School Bus, Passing Stopped",1,13
Speeding,60,213
Spillback,0,0
Tinted Windows,106,506
Truck Routes,0,0
U-Turn,8,67
Uninspected,0,4
Uninsured,32,140
Unlicensed Operator,39,158
Unregistered,2,21
Unsafe Lane Change,5,11
Other Movers,52,187
060    TOTAL Movers ,806,3689
