Staten Island,,
     May ,,
pbsisum,,
"",MTD   2014,YTD   2014
Backing Unsafely,3,27
Brake Lights (Defect.or Improper),128,951
"Bus Lane, Driving in",6,56
Cell Phone,513,1783
Commercial Veh on Pkwy,3,12
Defective Brakes,0,5
Disobey Sign,816,3701
Equipment (Other),29,211
Fail to Keep Right,1,16
Fail to Signal,197,1141
Fail to Stop on Signal,234,946
Following Too Closely,15,50
Headlights (Defect. or Improper),124,872
Improper Lights,14,46
Improper Passing,13,72
Improper Turn,91,244
Improper/Missing Plates,35,221
Not Giving R of W to Pedes.,97,288
Not Giving R of W to Veh.,22,98
One Way Street,8,42
Pavement Markings,376,1558
Safety Belt,623,1949
"School Bus, Passing Stopped",20,74
Speeding,732,2662
Spillback,15,27
Tinted Windows,121,946
Truck Routes,3,61
U-Turn,27,136
Uninspected,42,365
Uninsured,266,1604
Unlicensed Operator,405,2029
Unregistered,62,350
Unsafe Lane Change,14,64
Other Movers,469,1455
PBSI   TOTAL Movers ,5524,24062
