78th Precinct,,
     May ,,
078sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,3,14
Brake Lights (Defect.or Improper),4,71
"Bus Lane, Driving in",0,0
Cell Phone,191,682
Commercial Veh on Pkwy,0,15
Defective Brakes,0,3
Disobey Sign,96,465
Equipment (Other),1,3
Fail to Keep Right,0,0
Fail to Signal,36,117
Fail to Stop on Signal,202,623
Following Too Closely,0,1
Headlights (Defect. or Improper),9,142
Improper Lights,0,11
Improper Passing,3,15
Improper Turn,19,87
Improper/Missing Plates,3,4
Not Giving R of W to Pedes.,48,160
Not Giving R of W to Veh.,3,10
One Way Street,0,4
Pavement Markings,24,66
Safety Belt,181,499
"School Bus, Passing Stopped",1,3
Speeding,51,178
Spillback,25,69
Tinted Windows,31,162
Truck Routes,14,40
U-Turn,55,166
Uninspected,1,3
Uninsured,20,136
Unlicensed Operator,30,136
Unregistered,5,22
Unsafe Lane Change,1,14
Other Movers,18,98
078    TOTAL Movers ,1075,4019
