"Moving Violations",,
"7th Precinct",,
"     May ",,
007sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",0,0
"Brake Lights (Defect.or Improper)",0,0
"Bus Lane, Driving in",0,0
"Cell Phone",115,602
"Commercial Veh on Pkwy",0,1
"Defective Brakes",0,2
"Disobey Sign",373,1062
"Equipment (Other)",0,0
"Fail to Keep Right",0,0
"Fail to Signal",6,45
"Fail to Stop on Signal",90,358
"Following Too Closely",0,1
"Headlights (Defect. or Improper)",0,0
"Improper Lights",32,159
"Improper Passing",0,2
"Improper Turn",166,441
"Improper/Missing Plates",0,0
"Not Giving R of W to Pedes.",22,124
"Not Giving R of W to Veh.",0,4
"One Way Street",0,0
"Pavement Markings",0,0
"Safety Belt",88,370
"School Bus, Passing Stopped",0,11
Speeding,23,43
Spillback,10,68
"Tinted Windows",32,157
"Truck Routes",2,33
U-Turn,0,0
Uninspected,0,5
Uninsured,13,62
"Unlicensed Operator",22,129
Unregistered,6,23
"Unsafe Lane Change",2,4
"Other Movers",75,254
"007    TOTAL Movers ",1077,3960
"* All figures are preliminary and subject to change.",,
