"Moving Violations",,
"104th Precinct",,
"     May ",,
104sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",3,7
"Brake Lights (Defect.or Improper)",16,77
"Bus Lane, Driving in",0,0
"Cell Phone",117,474
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",92,470
"Equipment (Other)",4,10
"Fail to Keep Right",0,2
"Fail to Signal",23,85
"Fail to Stop on Signal",40,179
"Following Too Closely",0,3
"Headlights (Defect. or Improper)",13,48
"Improper Lights",0,2
"Improper Passing",1,13
"Improper Turn",37,141
"Improper/Missing Plates",4,41
"Not Giving R of W to Pedes.",55,203
"Not Giving R of W to Veh.",1,6
"One Way Street",0,8
"Pavement Markings",37,112
"Safety Belt",141,604
"School Bus, Passing Stopped",1,9
Speeding,86,243
Spillback,0,6
"Tinted Windows",76,455
"Truck Routes",19,152
U-Turn,2,13
Uninspected,9,39
Uninsured,34,246
"Unlicensed Operator",88,398
Unregistered,35,151
"Unsafe Lane Change",0,2
"Other Movers",84,436
"104    TOTAL Movers ",1018,4635
"* All figures are preliminary and subject to change.",,
