Bronx,,
     May ,,
pbbxsum,,
"",MTD   2014,YTD   2014
Backing Unsafely,40,166
Brake Lights (Defect.or Improper),295,1967
"Bus Lane, Driving in",11,44
Cell Phone,1069,3604
Commercial Veh on Pkwy,2,4
Defective Brakes,0,9
Disobey Sign,1487,6647
Equipment (Other),58,283
Fail to Keep Right,20,40
Fail to Signal,250,1226
Fail to Stop on Signal,443,1948
Following Too Closely,6,44
Headlights (Defect. or Improper),277,2017
Improper Lights,9,61
Improper Passing,11,59
Improper Turn,1092,3945
Improper/Missing Plates,46,227
Not Giving R of W to Pedes.,477,1380
Not Giving R of W to Veh.,31,172
One Way Street,33,120
Pavement Markings,256,1257
Safety Belt,1089,3784
"School Bus, Passing Stopped",52,308
Speeding,1214,3592
Spillback,16,114
Tinted Windows,1219,7037
Truck Routes,24,115
U-Turn,88,625
Uninspected,52,380
Uninsured,595,3083
Unlicensed Operator,696,3263
Unregistered,177,886
Unsafe Lane Change,37,153
Other Movers,481,1760
PBBX   TOTAL Movers ,11653,50320
