23rd Precinct,,
     May ,,
023sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,2,7
Brake Lights (Defect.or Improper),7,163
"Bus Lane, Driving in",0,1
Cell Phone,196,1039
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Sign,197,266
Equipment (Other),13,27
Fail to Keep Right,0,0
Fail to Signal,17,66
Fail to Stop on Signal,76,212
Following Too Closely,0,0
Headlights (Defect. or Improper),11,143
Improper Lights,0,0
Improper Passing,5,10
Improper Turn,129,245
Improper/Missing Plates,1,2
Not Giving R of W to Pedes.,79,223
Not Giving R of W to Veh.,0,0
One Way Street,5,20
Pavement Markings,0,5
Safety Belt,78,575
"School Bus, Passing Stopped",2,11
Speeding,26,69
Spillback,0,0
Tinted Windows,28,106
Truck Routes,4,17
U-Turn,0,1
Uninspected,0,0
Uninsured,8,36
Unlicensed Operator,29,66
Unregistered,3,9
Unsafe Lane Change,4,12
Other Movers,44,97
023    TOTAL Movers ,964,3428
