"Moving Violations",,
"122nd Precinct",,
"     May ",,
122sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",0,5
"Brake Lights (Defect.or Improper)",19,176
"Bus Lane, Driving in",6,46
"Cell Phone",100,464
"Commercial Veh on Pkwy",3,12
"Defective Brakes",0,0
"Disobey Sign",144,963
"Equipment (Other)",13,100
"Fail to Keep Right",1,9
"Fail to Signal",48,296
"Fail to Stop on Signal",35,226
"Following Too Closely",1,8
"Headlights (Defect. or Improper)",20,93
"Improper Lights",0,0
"Improper Passing",1,5
"Improper Turn",3,23
"Improper/Missing Plates",12,58
"Not Giving R of W to Pedes.",11,51
"Not Giving R of W to Veh.",6,38
"One Way Street",6,27
"Pavement Markings",171,852
"Safety Belt",133,511
"School Bus, Passing Stopped",11,28
Speeding,241,860
Spillback,1,5
"Tinted Windows",56,240
"Truck Routes",2,52
U-Turn,12,80
Uninspected,2,52
Uninsured,65,360
"Unlicensed Operator",60,402
Unregistered,11,75
"Unsafe Lane Change",6,32
"Other Movers",134,458
"122    TOTAL Movers ",1334,6607
"* All figures are preliminary and subject to change.",,
