Manhattan North,,
     May ,,
pbmnsum,,
"",MTD   2014,YTD   2014
Backing Unsafely,28,100
Brake Lights (Defect.or Improper),229,1766
"Bus Lane, Driving in",10,35
Cell Phone,2112,8046
Commercial Veh on Pkwy,1,19
Defective Brakes,9,27
Disobey Sign,2130,6513
Equipment (Other),83,252
Fail to Keep Right,2,18
Fail to Signal,223,1253
Fail to Stop on Signal,658,2596
Following Too Closely,3,12
Headlights (Defect. or Improper),154,1342
Improper Lights,4,23
Improper Passing,24,83
Improper Turn,1949,5820
Improper/Missing Plates,19,104
Not Giving R of W to Pedes.,841,2543
Not Giving R of W to Veh.,39,96
One Way Street,58,303
Pavement Markings,605,1622
Safety Belt,985,3994
"School Bus, Passing Stopped",28,192
Speeding,664,1680
Spillback,24,45
Tinted Windows,312,1693
Truck Routes,91,540
U-Turn,122,876
Uninspected,31,244
Uninsured,281,1590
Unlicensed Operator,365,1496
Unregistered,110,563
Unsafe Lane Change,64,269
Other Movers,644,2133
PBMN   TOTAL Movers ,12902,47888
