"Moving Violations",,
"24th Precinct",,
"     May ",,
024sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",1,6
"Brake Lights (Defect.or Improper)",3,70
"Bus Lane, Driving in",0,0
"Cell Phone",251,989
"Commercial Veh on Pkwy",0,0
"Defective Brakes",1,1
"Disobey Sign",422,667
"Equipment (Other)",8,15
"Fail to Keep Right",0,0
"Fail to Signal",24,105
"Fail to Stop on Signal",87,227
"Following Too Closely",0,1
"Headlights (Defect. or Improper)",9,79
"Improper Lights",0,1
"Improper Passing",1,1
"Improper Turn",144,332
"Improper/Missing Plates",1,2
"Not Giving R of W to Pedes.",101,325
"Not Giving R of W to Veh.",5,9
"One Way Street",11,35
"Pavement Markings",0,0
"Safety Belt",73,212
"School Bus, Passing Stopped",7,20
Speeding,51,117
Spillback,1,5
"Tinted Windows",27,61
"Truck Routes",0,9
U-Turn,0,0
Uninspected,2,26
Uninsured,19,70
"Unlicensed Operator",31,100
Unregistered,16,47
"Unsafe Lane Change",13,33
"Other Movers",68,154
"024    TOTAL Movers ",1377,3719
"* All figures are preliminary and subject to change.",,
