"Moving Violations",,
"101st Precinct",,
"     May ",,
101sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",5,18
"Brake Lights (Defect.or Improper)",85,494
"Bus Lane, Driving in",0,0
"Cell Phone",71,249
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",135,514
"Equipment (Other)",5,117
"Fail to Keep Right",0,0
"Fail to Signal",9,29
"Fail to Stop on Signal",42,150
"Following Too Closely",1,4
"Headlights (Defect. or Improper)",89,722
"Improper Lights",2,5
"Improper Passing",2,18
"Improper Turn",12,63
"Improper/Missing Plates",6,21
"Not Giving R of W to Pedes.",19,71
"Not Giving R of W to Veh.",1,4
"One Way Street",0,4
"Pavement Markings",8,27
"Safety Belt",118,371
"School Bus, Passing Stopped",1,12
Speeding,74,221
Spillback,0,0
"Tinted Windows",100,623
"Truck Routes",4,4
U-Turn,1,3
Uninspected,20,123
Uninsured,200,1288
"Unlicensed Operator",149,895
Unregistered,13,104
"Unsafe Lane Change",0,2
"Other Movers",43,178
"101    TOTAL Movers ",1215,6334
"* All figures are preliminary and subject to change.",,
