106th Precinct,,
     May ,,
106sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,3,8
Brake Lights (Defect.or Improper),0,1
"Bus Lane, Driving in",0,0
Cell Phone,73,313
Commercial Veh on Pkwy,0,0
Defective Brakes,0,9
Disobey Sign,91,468
Equipment (Other),0,0
Fail to Keep Right,0,0
Fail to Signal,1,6
Fail to Stop on Signal,99,510
Following Too Closely,2,2
Headlights (Defect. or Improper),0,5
Improper Lights,40,152
Improper Passing,2,8
Improper Turn,165,813
Improper/Missing Plates,0,1
Not Giving R of W to Pedes.,36,116
Not Giving R of W to Veh.,3,39
One Way Street,3,7
Pavement Markings,9,76
Safety Belt,183,640
"School Bus, Passing Stopped",2,8
Speeding,54,152
Spillback,0,6
Tinted Windows,41,425
Truck Routes,24,36
U-Turn,0,0
Uninspected,6,37
Uninsured,132,597
Unlicensed Operator,61,291
Unregistered,10,67
Unsafe Lane Change,1,10
Other Movers,54,203
106    TOTAL Movers ,1095,5006
