"Moving Violations",,
"84th Precinct",,
"     May ",,
084sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",1,9
"Brake Lights (Defect.or Improper)",17,93
"Bus Lane, Driving in",0,0
"Cell Phone",72,362
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,2
"Disobey Sign",134,839
"Equipment (Other)",0,0
"Fail to Keep Right",0,0
"Fail to Signal",8,57
"Fail to Stop on Signal",34,254
"Following Too Closely",0,1
"Headlights (Defect. or Improper)",28,153
"Improper Lights",2,2
"Improper Passing",16,88
"Improper Turn",203,929
"Improper/Missing Plates",0,0
"Not Giving R of W to Pedes.",39,151
"Not Giving R of W to Veh.",1,3
"One Way Street",1,19
"Pavement Markings",165,860
"Safety Belt",118,431
"School Bus, Passing Stopped",0,10
Speeding,59,88
Spillback,6,32
"Tinted Windows",54,338
"Truck Routes",6,24
U-Turn,4,25
Uninspected,0,16
Uninsured,56,296
"Unlicensed Operator",54,272
Unregistered,13,59
"Unsafe Lane Change",0,0
"Other Movers",33,155
"084    TOTAL Movers ",1124,5568
"* All figures are preliminary and subject to change.",,
