28th Precinct,,
     May ,,
028sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,2,6
Brake Lights (Defect.or Improper),4,44
"Bus Lane, Driving in",1,1
Cell Phone,178,666
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Sign,108,493
Equipment (Other),3,18
Fail to Keep Right,0,3
Fail to Signal,11,36
Fail to Stop on Signal,68,286
Following Too Closely,1,2
Headlights (Defect. or Improper),7,35
Improper Lights,0,0
Improper Passing,0,3
Improper Turn,85,329
Improper/Missing Plates,1,3
Not Giving R of W to Pedes.,51,220
Not Giving R of W to Veh.,16,24
One Way Street,2,6
Pavement Markings,5,22
Safety Belt,123,532
"School Bus, Passing Stopped",1,11
Speeding,92,314
Spillback,6,12
Tinted Windows,20,129
Truck Routes,8,27
U-Turn,48,253
Uninspected,6,52
Uninsured,16,65
Unlicensed Operator,26,90
Unregistered,6,26
Unsafe Lane Change,3,11
Other Movers,72,236
028    TOTAL Movers ,970,3955
