123rd Precinct,,
     May ,,
123sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,0,4
Brake Lights (Defect.or Improper),52,267
"Bus Lane, Driving in",0,0
Cell Phone,95,294
Commercial Veh on Pkwy,0,0
Defective Brakes,0,3
Disobey Sign,85,339
Equipment (Other),0,5
Fail to Keep Right,0,1
Fail to Signal,1,10
Fail to Stop on Signal,19,111
Following Too Closely,6,25
Headlights (Defect. or Improper),50,293
Improper Lights,12,26
Improper Passing,5,39
Improper Turn,10,67
Improper/Missing Plates,10,52
Not Giving R of W to Pedes.,2,6
Not Giving R of W to Veh.,6,15
One Way Street,0,0
Pavement Markings,48,127
Safety Belt,200,662
"School Bus, Passing Stopped",1,10
Speeding,214,1001
Spillback,1,2
Tinted Windows,35,271
Truck Routes,0,7
U-Turn,0,1
Uninspected,20,151
Uninsured,88,445
Unlicensed Operator,34,294
Unregistered,17,78
Unsafe Lane Change,0,0
Other Movers,45,145
123    TOTAL Movers ,1056,4751
