Brooklyn North,,
     May ,,
pbbnsum,,
"",MTD   2014,YTD   2014
Backing Unsafely,33,145
Brake Lights (Defect.or Improper),331,2391
"Bus Lane, Driving in",2,4
Cell Phone,1647,7678
Commercial Veh on Pkwy,0,0
Defective Brakes,5,34
Disobey Sign,1423,7379
Equipment (Other),33,142
Fail to Keep Right,2,21
Fail to Signal,227,1039
Fail to Stop on Signal,736,3471
Following Too Closely,5,37
Headlights (Defect. or Improper),439,3268
Improper Lights,3,22
Improper Passing,74,364
Improper Turn,640,2844
Improper/Missing Plates,29,181
Not Giving R of W to Pedes.,283,1037
Not Giving R of W to Veh.,33,237
One Way Street,68,364
Pavement Markings,358,1838
Safety Belt,1487,5913
"School Bus, Passing Stopped",15,129
Speeding,731,2080
Spillback,63,184
Tinted Windows,723,5433
Truck Routes,27,171
U-Turn,44,227
Uninspected,73,439
Uninsured,617,3547
Unlicensed Operator,677,3507
Unregistered,176,913
Unsafe Lane Change,14,49
Other Movers,896,4581
PBBN   TOTAL Movers ,11914,59669
