115th Precinct,,
     May ,,
115sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,2,14
Brake Lights (Defect.or Improper),0,1
"Bus Lane, Driving in",0,0
Cell Phone,105,436
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Sign,217,941
Equipment (Other),14,111
Fail to Keep Right,0,0
Fail to Signal,33,128
Fail to Stop on Signal,90,404
Following Too Closely,0,0
Headlights (Defect. or Improper),0,8
Improper Lights,129,744
Improper Passing,6,28
Improper Turn,262,526
Improper/Missing Plates,6,59
Not Giving R of W to Pedes.,123,315
Not Giving R of W to Veh.,4,13
One Way Street,5,20
Pavement Markings,7,41
Safety Belt,161,1172
"School Bus, Passing Stopped",2,16
Speeding,31,122
Spillback,2,6
Tinted Windows,118,831
Truck Routes,12,98
U-Turn,0,8
Uninspected,13,190
Uninsured,228,1492
Unlicensed Operator,359,2371
Unregistered,20,181
Unsafe Lane Change,0,2
Other Movers,90,555
115    TOTAL Movers ,2039,10833
