"Moving Violations",,
"81st Precinct",,
"     May ",,
081sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",0,9
"Brake Lights (Defect.or Improper)",78,507
"Bus Lane, Driving in",0,0
"Cell Phone",184,968
"Commercial Veh on Pkwy",0,0
"Defective Brakes",1,1
"Disobey Sign",69,429
"Equipment (Other)",13,61
"Fail to Keep Right",0,1
"Fail to Signal",44,187
"Fail to Stop on Signal",56,281
"Following Too Closely",0,2
"Headlights (Defect. or Improper)",41,755
"Improper Lights",0,2
"Improper Passing",0,5
"Improper Turn",13,49
"Improper/Missing Plates",4,9
"Not Giving R of W to Pedes.",32,109
"Not Giving R of W to Veh.",3,26
"One Way Street",2,12
"Pavement Markings",10,67
"Safety Belt",175,842
"School Bus, Passing Stopped",2,10
Speeding,141,268
Spillback,0,8
"Tinted Windows",96,608
"Truck Routes",0,1
U-Turn,0,11
Uninspected,4,10
Uninsured,53,375
"Unlicensed Operator",60,327
Unregistered,9,64
"Unsafe Lane Change",5,10
"Other Movers",44,173
"081    TOTAL Movers ",1139,6187
"* All figures are preliminary and subject to change.",,
