"Moving Violations",,
"Midtown North Precinct",,
"    July ",,
"Offense Description","MTD 2018","YTD 2018"
"Backing Unsafely",0,8
"Bike Lane",16,43
"Bus Lane",1,83
"Cell Phone",31,433
"Commercial Veh on Pkwy",0,0
"Cruising For Passengers",0,0
"Disobey Traffic Control Device",294,2557
"Driving Too Slow",0,0
Equipment,49,309
"Equipment (Other)",0,0
"Excessive Noise",0,0
"Fail to Keep Right",0,1
"Fail to yield Right of Way to Pedestrian",45,316
"Failure to Signal",4,82
"Following Too Closely",0,0
"Improper Passing",2,9
"Improper Taxi Pickup",2,7
"Improper Turn",82,1019
"Improper/Missing Plates",4,46
"Lamps and Other Equipment on Bicycle",1,1
"Motorcycle (Other)",0,2
"Not Giving R of W to Veh.",1,4
"Obstructed Plate",6,24
"One Way Street",18,111
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
"Pavement Markings",0,4
"Red Light",185,666
"School Bus",0,4
"Scooter In NYC",0,0
"Seat Belt",74,529
Speeding,34,182
Spillback,1,30
"TBTA Rule",0,0
Tints,11,275
"TLC (Other)",0,0
"Truck Route",0,6
Uninspected,1,16
Uninsured,16,209
"Unlicensed Operator",22,350
Unregistered,11,93
"Unsafe Lane Change",4,24
"Other Movers",116,843
"018TOTAL Movers ",1031,8286
"* All figures are preliminary and subject to change.",,
