122nd Precinct,,
    July ,,
"","",""
Backing Unsafely,3,9
Bike Lane,0,0
Bus Lane,3,10
Cell Phone,87,602
Commercial Veh on Pkwy,0,0
Cruising For Passengers,0,0
Disobey Traffic Control Device,304,2114
Driving Too Slow,0,1
Equipment,30,168
Equipment (Other),0,1
Excessive Noise,0,0
Fail to Keep Right,1,3
Fail to yield Right of Way to Pedestrian,46,324
Failure to Signal,46,378
Following Too Closely,0,4
Improper Passing,2,11
Improper Taxi Pickup,0,0
Improper Turn,76,339
Improper/Missing Plates,1,10
Lamps and Other Equipment on Bicycle,0,1
Motorcycle (Other),1,6
Not Giving R of W to Veh.,5,37
Obstructed Plate,31,214
One Way Street,11,69
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
Pavement Markings,0,1
Red Light,49,366
School Bus,1,133
Scooter In NYC,0,0
Seat Belt,204,1048
Speeding,200,1522
Spillback,0,8
TBTA Rule,0,0
Tints,15,114
TLC (Other),0,0
Truck Route,1,1
Uninspected,7,76
Uninsured,30,205
Unlicensed Operator,118,638
Unregistered,28,153
Unsafe Lane Change,15,99
Other Movers,255,1382
122TOTAL Movers ,1570,10047
