Transportation Bureau,,
    July ,,
"","",""
Backing Unsafely,11,95
Bike Lane,4,33
Bus Lane,323,5066
Cell Phone,331,2916
Commercial Veh on Pkwy,248,1750
Cruising For Passengers,1,1
Disobey Traffic Control Device,2212,21929
Driving Too Slow,1,9
Equipment,541,7744
Equipment (Other),7,14
Excessive Noise,0,1
Fail to Keep Right,0,1
Fail to yield Right of Way to Pedestrian,324,1370
Failure to Signal,283,2453
Following Too Closely,77,438
Improper Passing,39,302
Improper Taxi Pickup,204,2042
Improper Turn,1179,7623
Improper/Missing Plates,20,196
Lamps and Other Equipment on Bicycle,0,6
Motorcycle (Other),80,714
Not Giving R of W to Veh.,43,198
Obstructed Plate,144,1183
One Way Street,87,822
Overheight,2,20
Overlength,1,64
Overweight,13,363
Overwidth,0,32
Pavement Markings,3,45
Red Light,168,1468
School Bus,2,441
Scooter In NYC,0,0
Seat Belt,1139,9365
Speeding,7365,51373
Spillback,244,3862
TBTA Rule,0,0
Tints,1620,16290
TLC (Other),0,1
Truck Route,28,373
Uninspected,94,890
Uninsured,149,1353
Unlicensed Operator,631,4734
Unregistered,182,1449
Unsafe Lane Change,163,1304
Other Movers,1259,12049
TCDTOTAL Movers ,19222,162382
