Patrol Bureau,,
    July ,,
"","",""
Backing Unsafely,53,490
Bike Lane,47,273
Bus Lane,64,988
Cell Phone,3669,28471
Commercial Veh on Pkwy,32,178
Cruising For Passengers,3,9
Disobey Traffic Control Device,14084,106436
Driving Too Slow,0,19
Equipment,2079,15388
Equipment (Other),4,23
Excessive Noise,0,2
Fail to Keep Right,6,81
Fail to yield Right of Way to Pedestrian,3437,31730
Failure to Signal,1297,10865
Following Too Closely,12,149
Improper Passing,185,1246
Improper Taxi Pickup,31,321
Improper Turn,6153,47559
Improper/Missing Plates,87,690
Lamps and Other Equipment on Bicycle,9,62
Motorcycle (Other),124,628
Not Giving R of W to Veh.,98,786
Obstructed Plate,563,4238
One Way Street,480,2889
Overheight,1,2
Overlength,0,25
Overweight,0,1
Overwidth,0,0
Pavement Markings,15,124
Red Light,5844,41757
School Bus,35,1273
Scooter In NYC,1,8
Seat Belt,5640,43155
Speeding,5679,41429
Spillback,43,627
TBTA Rule,0,0
Tints,2580,26156
TLC (Other),0,1
Truck Route,145,1206
Uninspected,224,1920
Uninsured,993,8092
Unlicensed Operator,3736,27475
Unregistered,827,5440
Unsafe Lane Change,223,1866
Other Movers,6103,44996
PATROLTOTAL Movers ,64606,499074
