123rd Precinct,,
    July ,,
"","",""
Backing Unsafely,1,7
Bike Lane,0,1
Bus Lane,3,9
Cell Phone,41,314
Commercial Veh on Pkwy,0,0
Cruising For Passengers,0,0
Disobey Traffic Control Device,199,1375
Driving Too Slow,0,1
Equipment,3,91
Equipment (Other),0,1
Excessive Noise,0,0
Fail to Keep Right,0,1
Fail to yield Right of Way to Pedestrian,5,95
Failure to Signal,35,379
Following Too Closely,0,9
Improper Passing,0,6
Improper Taxi Pickup,0,0
Improper Turn,7,76
Improper/Missing Plates,1,16
Lamps and Other Equipment on Bicycle,0,0
Motorcycle (Other),0,0
Not Giving R of W to Veh.,0,24
Obstructed Plate,6,68
One Way Street,3,21
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
Pavement Markings,0,1
Red Light,62,385
School Bus,0,18
Scooter In NYC,0,0
Seat Belt,156,977
Speeding,152,1441
Spillback,0,2
TBTA Rule,0,0
Tints,21,384
TLC (Other),0,0
Truck Route,0,0
Uninspected,11,104
Uninsured,18,184
Unlicensed Operator,33,413
Unregistered,11,80
Unsafe Lane Change,0,44
Other Movers,99,889
123TOTAL Movers ,867,7416
