Queens South,,
    July ,,
"","",""
Backing Unsafely,2,40
Bike Lane,0,3
Bus Lane,7,58
Cell Phone,351,2602
Commercial Veh on Pkwy,4,23
Cruising For Passengers,2,3
Disobey Traffic Control Device,1476,10498
Driving Too Slow,0,2
Equipment,204,1751
Equipment (Other),0,5
Excessive Noise,0,0
Fail to Keep Right,1,7
Fail to yield Right of Way to Pedestrian,227,2044
Failure to Signal,236,1585
Following Too Closely,1,11
Improper Passing,23,172
Improper Taxi Pickup,1,49
Improper Turn,529,4355
Improper/Missing Plates,9,65
Lamps and Other Equipment on Bicycle,0,2
Motorcycle (Other),1,36
Not Giving R of W to Veh.,12,58
Obstructed Plate,42,361
One Way Street,29,172
Overheight,0,0
Overlength,0,1
Overweight,0,0
Overwidth,0,0
Pavement Markings,2,19
Red Light,450,3138
School Bus,2,60
Scooter In NYC,0,0
Seat Belt,493,3284
Speeding,755,4564
Spillback,3,24
TBTA Rule,0,0
Tints,173,2051
TLC (Other),0,0
Truck Route,11,189
Uninspected,37,315
Uninsured,169,1322
Unlicensed Operator,507,3734
Unregistered,94,680
Unsafe Lane Change,18,85
Other Movers,616,4352
PBQSTOTAL Movers ,6487,47720
