"Moving Violations",,
"88th Precinct",,
"February ",,
088sum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",1,4
"Brake Lights (Defect.or Improper)",15,33
"Bus Lane, Driving in",0,0
"Cell Phone",164,248
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",42,77
"Disobey Traffic Control Device",142,284
"Equipment (Other)",0,0
"Fail to Keep Right",0,0
"Fail to Signal",18,35
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",27,69
"Improper Lights",0,0
"Improper Passing",0,0
"Improper Turn",36,40
"Improper/Missing Plates",1,2
"Not Giving R of W to Pedes.",3,5
"Not Giving R of W to Veh.",0,3
"One Way Street",2,4
"Pavement Markings",13,29
"Safety Belt",68,152
"School Bus, Passing Stopped",0,1
Speeding,7,19
Spillback,0,0
"Tinted Windows",9,12
"Truck Routes",0,0
U-Turn,0,0
Uninspected,1,3
Uninsured,39,70
"Unlicensed Operator",29,41
Unregistered,11,16
"Unsafe Lane Change",0,0
"Other Movers",31,46
"088    TOTAL Movers ",659,1193
"* All figures are preliminary and subject to change.",,
